Name,Water,Toughskin,Timid,Tail,Strength,Stalker,Spots,Speed,Smart,Size,Quadrupedal,Paws,Pads,Oldworld,Nocturnal,Newworld,Muscle,Mountains,Lean,Jungle,Inactive,Hunter,Hibernate,Hairless,Grazer,Furry,Forest,Forager,Fierce,Domestic,Coastal,Bulbous,Bipedal,Arctic,Agility,Active
Grizzly Bear,7.64,21.82,12.5,9.38,78.48,26.05,0,46.97,24,86.69,36.77,69.6,3.75,3.95,24.32,61.54,48.89,43.85,0,2.5,32.57,60.83,86.14,0,0,82.37,77.4,25.74,61.8,11.39,2.78,45.13,51.21,6.65,15.92,29.95
Killer Whale,79.49,57.04,9.77,41.67,63.35,15,32.69,57.37,52.03,90.85,0,0,0,12.5,8.75,16.25,10.45,0,22.68,0,13.23,57.87,0,70.62,0,1.25,0,10.89,38.27,15.42,30.11,61.87,0,24.51,27.8,27.29
Beaver,65.62,25,31.88,86.56,32.81,1.25,7.5,25,41.88,6.88,24.38,39.38,24.38,19.06,21.88,63.44,24.38,0,8.75,0,2.5,3.75,36.88,1.25,4.69,46.25,19.06,10.62,3.75,13.12,33.75,37.5,12.5,11.25,36.25,67.81
Dalmatian,1.25,7.5,31.67,53.75,34.93,8.75,100,61.74,53.26,39.31,77.92,69.03,7.5,29.86,2.5,63.47,23.75,0,63.68,0,3.75,7.5,0,25.9,0,27.15,0,0,9.38,72.71,1.25,0,10.14,0,38.68,37.5
Persian Cat,1.25,6.25,43.69,66.8,12.58,9.03,6.25,26.98,38.62,6.25,66.15,68.81,42.44,54.31,10.55,50.66,12.5,6.25,14.54,6.25,49.04,10.98,1.56,0,6.25,90.19,8.98,6.25,13.98,72.88,1.39,32.92,7.5,0,44.5,13.89
Horse,2.22,42.45,35.39,70.42,69.13,0,15.8,81.68,37.28,71.5,70.35,0,3.7,50.07,1.11,62.29,51.14,16.22,47.96,3.33,1.11,4.09,1.11,12.59,72.19,40.58,10.76,2.34,15.51,59.33,2.92,15.72,0,0,49,55.95
German Shepherd,3.75,18.46,10,72.3,62.33,21.02,11.59,57.02,57.53,54.88,82.93,59.8,41.94,48.92,7.5,64.49,50.69,11.25,38.05,0,1.88,43.77,0,3.75,0.62,66.05,17.89,5.62,57.44,68.55,2.5,15.85,5,6.25,60.14,58.15
Blue Whale,76.61,45.17,44.58,26.42,55.26,0,23.75,21.42,39.06,86.46,0,0,0,30.21,6.25,33.96,25.37,0,11.88,0,35.48,5.94,0,64.47,0,0,0,0,7.5,5,5.31,65.15,0,32.75,7.06,7.88
Siamese Cat,2.22,5,28.82,59.15,8.96,51.61,6.94,43.24,52.9,2.22,80.44,64.22,31.44,58.2,29.16,64.25,35.03,5.56,61.86,2.22,32.01,34.6,5.62,10,0,72.76,4.44,19.05,35.98,83.55,7.78,4.44,10,1.11,64.05,37.63
Skunk,4.03,8.12,46.11,83.33,3.12,0,1.25,30.21,12.5,0,70.83,59.79,27.71,21.88,35.62,67.85,3.75,5.62,16.88,0,19.93,4.17,33.68,0.62,0,80,47.85,33.75,17.29,8.89,0,28.06,5,0,15.42,22.5
Mole,0,8.96,29.47,20,1.25,0,0,20.9,16.67,1.25,51.05,43.17,19.36,24.72,25.14,44.68,16.41,0.62,20.91,0,20.67,0.62,31.69,14.88,5.62,45.81,43.67,39.28,16.88,13.75,1.39,42.27,1.39,0,26.7,48.83
Tiger,4.06,16.01,3.75,66.65,84.04,87.22,6.08,76.21,36.59,78.36,77.12,60.83,33.28,83.28,38.24,13.12,82.34,14.88,48.87,75.79,10.62,84.93,14.24,2.64,0,66.23,21.32,4.38,83.81,5.64,0,14.09,0,1.25,68.97,59.45
Hippopotamus,46.78,66.12,29.58,7.27,49.76,0,0,2.5,8.75,79.48,60.22,0,8.33,68.55,0,5,32.09,0,0,28.47,50.23,3.75,0,63.91,18.52,0,8.75,6.02,19.17,0,3.75,59.45,0,0,8.52,6.25
Leopard,2.5,12.18,0,48.22,55.18,79.76,74.97,85.26,37.16,54.64,78,69.9,19.45,62.61,25.81,24.24,62.22,26.03,73.48,68.99,7.5,69.02,14.76,10.97,9.87,43.27,18.05,30.33,70.3,6.25,0,0,0,2.5,75.1,71.82
Moose,1.25,28.57,40.42,29.59,68.53,11.25,12.5,22.74,19.11,87.73,82.61,0,2.5,34.31,3.75,82.33,35.5,67.19,11.25,3.75,37.86,18.06,0,10,77.33,36.85,58.47,46.46,8.75,5.14,3.75,36.63,0,26.58,6.25,18.06
Spider Monkey,0,7.81,23.68,72.26,24.17,2.08,0,58.12,55,20,32.4,27.5,18.75,45.83,5,21.01,24.06,3.75,44.93,61.88,7.5,5,0,5,21.15,64.93,33.26,35.38,17.71,12.78,0,0,32.81,0,88.33,74.9
Humpback Whale,89.95,68.52,60.72,44.8,63.27,0,6.88,26.7,60.31,94.6,0,0,0,27.84,3.75,35.34,28.98,0,13.75,0,29.86,15.65,0,65.21,0,0,0,11.25,3.75,0,27.61,64.92,0,48.7,10.34,12.5
Elephant,1.25,77.62,39.36,51.97,67.45,0,1.25,3.75,22.81,85.48,70.61,5.08,17.1,84.56,7.5,4.53,25.56,0,1.25,36.33,53.62,3.75,0,68.27,43.83,1.14,7.58,8.06,20.63,6.88,0,48.52,0,0,5.78,6.48
Gorilla,1.25,28.08,12.13,10,73.42,11.25,0,37.06,56.19,70.48,37.17,1.25,8.12,73.83,8.75,12.5,65.79,17.14,12.68,77.01,6.56,19.11,0,0,7.5,79.21,33.19,34.71,46.23,18.93,8.75,31.77,68.8,1.25,59.73,49.22
Ox,2.5,52.54,33.65,58.05,88.78,0,15.62,5.28,14.68,73.47,77.18,5,3.75,54.7,2.5,50.38,30.51,10,3.75,5,51.44,0,0,33.3,66.23,30.02,6.25,10.36,20.16,53.33,18,52.36,0,0,3.75,17.61
Fox,0,5.7,5,66.65,26.72,61.2,0,67.51,79.26,5.23,66.89,42.58,20.98,43.33,43.24,61.81,21.6,13.12,50.61,5,5.7,61.52,21.91,0,0,66.35,61.82,32.03,44.9,4.38,7.5,0,0,19.28,49.56,54
Sheep,0,9.55,54.38,11.65,10,0,0,4.66,10.62,16.53,80.14,0,3.75,57.33,0,57.78,8.41,49.8,2.5,2.5,36.22,0,0,3.12,68.35,61.16,1.25,2.5,0,30.68,5,35.62,0,0,7.05,3.75
Seal,78.92,49.97,35.31,41.14,23.18,6.25,23.12,29.32,44.49,30.91,11.25,5,2.5,30.31,2.5,32.24,10.45,0,10.94,0,20.8,27.88,0,44.75,0,20.45,0,7.81,13.75,47.03,59.15,20.23,1.56,74.38,49.81,28.98
Chimpanzee,1.25,20.96,29.64,54.26,41.19,8.75,0,56.94,84.36,28.29,44.53,9.31,9.69,74.34,9.81,52.98,41.83,27.35,45.75,91.98,7.5,7.5,0,0.46,11.94,81.98,63.58,33.53,23.1,36.62,8.75,6.56,66.82,1.25,75.86,77.8
Hamster,0,5.56,40.69,26.34,3.89,0,8.5,39.33,18.37,0,72.49,44.47,7.5,20.56,34.58,53.14,0,0,5.56,0,29.95,0,26.88,0,22.71,86.82,2.5,27.26,8.75,71.44,3.75,39.03,2.64,0,32.57,47.28
Squirrel,1.25,14.62,38.16,84.69,14.17,0,2.5,54.93,18.48,2.64,42.67,43.19,23.12,38.65,10,67.85,15,10,19.58,6.25,2.5,0,51.26,0,2.5,78.78,66.53,77.01,7.92,14.76,7.5,0,36.04,3.75,60.26,62.01
Rhinoceros,13.54,76.17,13.33,17.05,55.38,0,1.39,10.21,10.59,82,58.54,0,17.99,72.1,0,2.64,12.04,0,0,27.78,32.6,0,0,54.46,23.06,1.14,0,9.66,42.5,2.5,0,48.9,1.39,0,4.91,2.64
Rabbit,0,7.95,61.21,61.1,4.79,0,9.26,63.26,11.47,2.27,49.13,56.45,15.21,45.71,18.61,62.1,13.96,4,5.05,0.25,22.73,0,19.68,0,48.98,80.89,28.32,34.33,4.17,60.52,11.46,47.73,3.12,12.38,24.56,47.86
Bat,1.39,30,8.98,15.11,7.5,8.12,1.25,80.96,32.3,1.25,6.48,7.5,0,65.69,98.86,65.69,35.73,31.25,45.69,37.52,36.81,43.28,45.3,40.61,10.62,38.75,58.01,24.38,32.57,5.56,9.38,15.28,23.75,0,42.11,36.24
Giraffe,0,13.57,45.36,44.8,31.43,0,77.08,31.86,16.95,78.23,77.12,6.65,0.56,66.16,0,11.11,21.52,0,68.82,16.92,35.89,0,0,14.05,55.84,17.17,11.11,12.78,1.11,3.33,0,1.11,0,0,18.38,24.22
Wolf,0,5.83,0,62.59,61.63,73.45,0,63.13,61.48,40.21,80.84,59.95,23.96,52.78,38.82,59.47,63.39,23.47,41.55,10.76,0,71.47,4.17,0,0,67.2,34.25,22.97,75.75,5,11.67,5.21,0,36.11,64.18,77.68
Chihuahua,1.25,0.62,36.73,48.8,4.3,1.38,11.79,27.87,29.84,0,81.01,73.54,22.1,37.23,0,63.86,6.88,1.88,34.3,0,13.06,6.58,0,16.46,3.75,51.16,5.08,3.2,33.03,73.55,1.51,0.62,3.12,0,20.24,56.13
Rat,0,7.36,11.81,73.69,18.19,3.4,1.25,57.14,24.99,1.88,73.62,49.02,10.78,70.36,67.81,72.65,20.24,7.5,28.76,1.39,11.95,24,31.16,15.39,0,48.79,36.71,52.36,59.44,16.69,11.67,21.3,2.27,0,28.54,56.88
Weasel,5.42,5,3.75,30.55,8.89,19.84,8.75,61.5,36.56,1.25,57.65,44.21,10.42,23.61,28.32,36.01,22.11,9.82,54.05,1.25,1.25,41.69,3.57,1.25,7.5,45.41,31.66,28.79,59.37,3.75,6.39,0,3.75,0,47.2,52.09
Otter,78.75,20,33.47,43.61,11.39,3.75,0,40.97,27.22,11.25,35.56,24.17,10.42,30.83,12.5,54.72,11.39,0,30.14,0,2.5,32.92,10.14,7.5,0,46.94,25.83,1.25,6.25,7.78,35.97,23.06,1.25,35.56,32.92,41.11
Buffalo,9.38,42.36,19.88,5.39,50.81,0,0,24.79,10,84.91,61.82,0,0,18.33,0,55.83,21.13,4.63,0,0,29,6.67,0,6.46,54.04,39.24,0,23.67,26.99,2.31,0,50.83,0,0,4.38,18.94
Zebra,0,20.8,53.25,61.43,29.85,0,0,70.85,22.63,48.82,89,0,0,90.92,0,5.42,38.76,10,38.74,10,20,4.17,0,7.69,78.67,36.4,8.75,32.08,0,9.94,0,11.88,0,0,29.52,42.51
Giant Panda,1.25,10,65.84,9.03,46.11,6.25,24.17,5,37.3,75.01,55.2,70.55,41.61,84.4,9.63,29.17,17.69,18.12,1.25,45.65,53.51,3.75,18.66,0,41.84,84.15,48.03,40.63,6.25,29.58,5.14,70.22,48.68,5,10,5.5
Deer,0,18.22,67.49,43.85,23.88,0,48.08,73.73,40.05,39.88,68.71,0,0,45.19,2.63,62.18,32.58,25.16,42.52,0,1.25,5.26,0,0,69.35,52.33,69.22,23.91,0,10.27,4.85,0,0,1.39,62,50
Bobcat,0,2.5,0,64.5,32.99,66.98,33.55,73.97,42.89,19.93,74.25,62.75,22.81,42.75,20.73,51.79,47.3,50.56,42.51,17.08,6.38,81.44,28.02,0,0,64.71,30.95,36.97,71.95,3.75,1.39,0,0,6.67,71.74,61.13
Pig,3.87,51.37,27.85,40.56,27.44,0,21.23,16.24,23.04,48.17,68,7.5,7.5,41.02,2.5,53.27,14.4,6.25,0,2.5,38.78,1.79,0,43.7,9.42,17.05,2.5,31.63,25.48,48.95,10,54.21,1.25,3.75,3.52,15.53
Lion,0,16.25,4.38,62.22,77.19,77.34,0,65.47,25.7,71.88,65.55,67.66,27.81,66.02,9.77,10.94,50.94,21.25,22.81,63.05,36.88,76.56,0,5,7.5,67.03,22.5,30.94,70.47,3.75,3.75,23.12,2.5,0,43.52,33.44
Mouse,0,1.25,50,70.04,0,0.62,6.25,55.15,12.42,0,45.35,35.15,0,53.33,29.31,58.23,0.62,4.06,7.5,0,3.12,2.5,26.07,11.56,21.25,51.94,32.09,15.38,1.25,27.64,0,10,2.5,0,30.66,44.45
Polar Bear,45.9,22.29,3.75,10,77.08,30.38,0,38.68,16.25,85.49,66.04,66.04,26.25,31.25,10,44.38,16.25,1.25,0,0,29.38,56.32,58.12,0,0,81.94,0,34.38,70.35,5,48.96,53.75,25,96.88,24.38,36.25
Collie,0,1.25,43.09,67.09,19.55,3.75,9.09,49.05,42.17,26.31,70.14,76.17,12.95,40.72,0,55.39,15.34,12.5,21.02,0,1.88,22.27,0,0,0,78.21,0,6.16,5.25,79.11,6.25,8.07,0.62,0,32.05,54.26
Walrus,62.3,62.06,29.43,20.76,49.94,10,13.12,24.76,23.96,76.46,11.88,6.88,2.5,16.88,2.5,38.06,16.55,0,9.11,0,52.14,20.36,6.88,45.94,0.25,18.99,0,8.12,20,18.75,38.78,82.08,7.19,81.45,14.68,8.78
Raccoon,2.08,3.41,2.27,69.78,10.62,8.98,22.87,38.21,48.68,7.5,66.87,61.36,22.08,24.7,70.56,60.2,13.11,25.86,0,0,4.17,10.89,29.83,0,3.41,67.37,63.95,53.74,34.46,5,13.12,16.46,3.41,0,36.09,70.54
Cow,0.55,42.45,47.87,62.77,47.02,0,31.35,10.89,13.97,68.31,62.42,3.8,7.61,61.57,7.14,61.94,18.63,9.17,5.13,0.59,44.12,0,0,19.46,60.89,32.05,10.21,5.24,3.34,72.99,8.76,35.81,0,0,16.06,20.93
Dolphin,71.4,39.21,21.06,41.85,41.88,6.24,0.8,59.09,60.38,47.82,4.8,0,0,56.41,0.62,57.1,26.29,0,28.2,0,1.72,20.01,0,73.27,0.75,0.62,0,8.86,10.73,37.98,24.07,14.81,7.69,20.34,50.56,53.15